2025-01-11 21:43:03,553 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653383552, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,669 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653383666, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,687 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653383671, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,694 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653383693, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,750 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653383747, Type: adslot, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,752 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653383751, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,833 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653383831, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,851 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653383850, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,859 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653383857, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,862 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653383861, Type: adslot, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,866 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653383865, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,980 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653383977, Type: banner, Source: main, Component: scam, Site: 5002
